candidate,like_count,token_count,gain,note
뷰티·위생,0,190,+190,★ 대비 큼
스킨케어,0,93,+93,★ 대비 큼
증강현실,0,51,+51,★ 대비 큼
스마트글라스,0,51,+51,★ 대비 큼
색조화장,0,43,+43,★ 대비 큼
의류·패션잡화,0,30,+30,★ 대비 큼
상의·하의,0,20,+20,★ 대비 큼
스포츠·레저,0,12,+12,★ 대비 큼
취미·악기,0,12,+12,★ 대비 큼
자동차,0,8,+8,★ 대비 큼
전자·전기,0,8,+8,★ 대비 큼
컴퓨터·모바일,0,6,+6,★ 대비 큼
PCB·모듈,0,6,+6,★ 대비 큼
전자부품,0,6,+6,★ 대비 큼
목걸이·귀걸이·반지,0,6,+6,★ 대비 큼
주얼리·액세서리,0,6,+6,★ 대비 큼
모바일,0,5,+5,★ 대비 큼
에어컨,0,5,+5,★ 대비 큼
식품·음료,0,4,+4,★ 대비 큼
가전,0,4,+4,★ 대비 큼
아이스,0,4,+4,★ 대비 큼
아이스크림,0,4,+4,★ 대비 큼
헤어케어,0,4,+4,★ 대비 큼
헤어·바디,0,4,+4,★ 대비 큼
생활·주방,0,3,+3,★ 대비 큼
주방용품,0,3,+3,★ 대비 큼
캔들,0,3,+3,★ 대비 큼
주방·식탁,0,3,+3,★ 대비 큼
화장품,165,186,+21,
향수,44,50,+6,
의류,8,21,+13,
완구,8,11,+3,
크림,33,7,-26,
액세서리,10,5,-5,
전원,1,5,+4,
티셔츠,2,5,+3,
셔츠,2,5,+3,
에어,4,5,+1,
매트,4,4,+0,
신발,4,4,+0,
