rule_name,matched_items
ko_beauty_skincare,62
ko_beauty_perfume_ko,48
ko_beauty_brush_makeup,38
ko_beauty_mask,21
beauty_skincare,10
clothing_garment,8
ko_toy_stuffed,8
ko_fashion_shoes,6
fashion_jewelry,6
electronic_led_light,5
ko_electronics_headphone,5
beauty_makeup,5
ko_beauty_hair,4
ko_fashion_clothing,4
kitchen_utensil,3
alcohol_wine,3
fashion_bag,3
kitchen_beverage_icecream_relaxed,2
beauty_perfume,2
power_supply,2
ko_toy_keyring,2
ko_appliance_hair_tool,2
computer_peripherals,1
food_vegetable_dried,1
safety_respirator,1
electronic_pcb_module,1
industry_sensor_instrument,1
hobby_instrument_guitar,1
sports_toy_general,1
clothing_fabric_woven,1
fashion_sunglasses,1
ko_fashion_scarf,1
