pbac_no,pbac_srno,cmdt_ln_no,source,cmdt_nm
01026029000011,900001,001,BUSINESS,SKIN CARE COSMETIC
02026039000011,900001,002,BUSINESS,WIRELESS ELECTRIC MIXER
02026039000031,900003,001,BUSINESS,SKIN CARE COSMETICS
02026039000031,900003,002,BUSINESS,JEIL PREMIUM LUTEIN
02026039000031,900003,003,BUSINESS,FOOD PREPARATIONS
02026039000031,900003,004,BUSINESS,USED PERSONAL GOOD
02026039000031,900003,005,BUSINESS,COSMETIC
02026039000071,900007,001,BUSINESS,AMAZFIT HUAMI CHEETAH PRO 47MM A2320 SMART WATCH HALF FULL HORSE PRECISE POSITIONING WATCH SPORTS OUTDOOR HEART RATE BLOOD OXYGEN MEN S AND WOMEN S WATCH RACING BLACK 1
02026039000081,900008,001,BUSINESS,smart display
02026039000091,900009,001,BUSINESS,DISPOSABLE ELECTRONIC CIGARETTE
02026039000101,900010,001,BUSINESS,OTHER
02026039000101,900010,002,BUSINESS,Of polymers of elthylene
02026039000111,900011,001,BUSINESS,NATURAL GRAPHITE
02026039000141,900014,001,BUSINESS,EXAM GOWN
02026039000181,900018,001,BUSINESS,CRUSHED CHILLI
02026039000191,900019,001,BUSINESS,WATER BOTTLE
02026039000201,900020,001,BUSINESS,GRANITE PRODUCTS
02026039000211,900021,001,BUSINESS,Eletric Vehicle
02026039000221,900022,001,BUSINESS,PORTABLE FOLDING GRILL
02026039000221,900022,002,BUSINESS,TITANIUM CAMPING CUTLERY SET
02026039000221,900022,003,BUSINESS,CEREAL BOTTLE
02026039000231,900023,001,BUSINESS,TIAOWEIZHACAISI TIAOWEIZHACAIKUAI
02026039000241,900024,001,BUSINESS,BEAUTY EQUIPMENT
02026039000241,900024,002,BUSINESS,BELT
02026039000251,900025,001,BUSINESS,JUJUBE WITH WALNUT
02026039000261,900026,001,BUSINESS,ROLLER SKATE
02026039000291,900029,001,BUSINESS,RED GINSENG GEL CANDY BAF CAF PREPAID
02026039000301,900030,001,BUSINESS,MOVING HOUSE
03926019000101,900010,001,BUSINESS,RUGBY BALL GILBERT TAG RUGBY BALL GB9131 10
03926019000111,900011,001,BUSINESS,FISHING REEL SPINNING 19 RAGZAS LBD 1
03926019000121,900012,001,BUSINESS,SCAFFOLDING PLATFORM EXTENDABLE HASEGAWA DRS0780C 1
03926019000131,900013,001,BUSINESS,콜란토테 목걸이
03926019000141,900014,001,BUSINESS,싸이벡스 유모차
03926019000151,900015,001,BUSINESS,AUDIO EQUIPMENT ZOOM V3 1
03926019000171,900017,001,BUSINESS,CHILD SEAT BELT SEAT BELT ACCESSORIES  30
03926019000181,900018,001,BUSINESS,하세가와 사다리
03926019000211,900021,001,BUSINESS,FISHING REEL SHIMANO VANQUISH 1
03926019000221,900022,001,BUSINESS,"SPORTS CLOTHING-NIKE DV9840 1 ,SPORTS CLOTHING-NIKE DV9840 1 ,SPORTS CLOTHING-NIKE DV9840 1 ,SPORTSCLOTHING-NIKE DV9840 1 ,SPORTS CLOTHING-NIKE DV9840 1"
03926019000231,900023,001,BUSINESS,"나이키 티 5개(사이즈: S, M, L, XL, 2XL)"
03926019000241,900024,001,BUSINESS,WRISTWATCH
03926019000251,900025,001,BUSINESS,TEMPUR ORIGINAL PILLOW 1
03926019000261,900026,001,BUSINESS,LIL HYBRID 3 0 WHITE 1
03926019000271,900027,001,BUSINESS,SEIKO WRIST WATCH
03926019000281,900028,001,BUSINESS,아이코스 릴 하이브리드 2.0 전자담배 기기
03926019000291,900029,001,BUSINESS,VAPTIO PRO KIT DEVICE 1
03926019000301,900030,001,BUSINESS,ELECTRONIC CIGARETTES PART-VAPTIO AVOCADO BABY KITSIMPLE KITPINK 1
03926019000311,900031,001,BUSINESS,아이코스 전자담배 장치
03926019000321,900032,001,BUSINESS,MICROPHONE-MAINTENANCE COMPLETED YAMAHA INTEGRATEDCOMMUNICATIONS MICROPHONE SPEAKER SYSTEM YVC-1 1
03926019000331,900033,001,BUSINESS,CAULKING DEVICE
03926019000351,900035,001,BUSINESS,블루투스 스피커
03926019000381,900038,001,BUSINESS,아이코스 전자담배 기기
03926019000391,900039,001,BUSINESS,손목시계
03926019000401,900040,001,BUSINESS,ALTERNATOR 1
03926019000411,900041,001,BUSINESS,낚시 릴
03926019000431,900043,001,BUSINESS,낚시 릴
03926019000451,900045,001,BUSINESS,에어니퍼
03926019000501,900050,001,BUSINESS,손목시계
03926019000521,900052,001,BUSINESS,옷(후리스)
03926019000541,900054,001,BUSINESS,FISHING PART-DAIWA ISO-YONG LEVER BRAKE REEL 23 LUXUS 3000XH-LBD 1
03926019000551,900055,001,BUSINESS,골프가방
