participant,order,task,unipass_time_sec,unipass_success,proposed_time_sec,proposed_success,note
P1,U->C,T1,,,,,
P1,U->C,T2,,,,,
P1,U->C,T3,,,,,
P1,U->C,T4,180,X,,,유니패스 수행 불가
P2,C->U,T1,,,,,
P2,C->U,T2,,,,,
P2,C->U,T3,,,,,
P2,C->U,T4,180,X,,,유니패스 수행 불가
P3,U->C,T1,,,,,
P3,U->C,T2,,,,,
P3,U->C,T3,,,,,
P3,U->C,T4,180,X,,,유니패스 수행 불가
P4,C->U,T1,,,,,
P4,C->U,T2,,,,,
P4,C->U,T3,,,,,
P4,C->U,T4,180,X,,,유니패스 수행 불가
P5,U->C,T1,,,,,
P5,U->C,T2,,,,,
P5,U->C,T3,,,,,
P5,U->C,T4,180,X,,,유니패스 수행 불가
P6,C->U,T1,,,,,
P6,C->U,T2,,,,,
P6,C->U,T3,,,,,
P6,C->U,T4,180,X,,,유니패스 수행 불가
P7,U->C,T1,,,,,
P7,U->C,T2,,,,,
P7,U->C,T3,,,,,
P7,U->C,T4,180,X,,,유니패스 수행 불가
P8,C->U,T1,,,,,
P8,C->U,T2,,,,,
P8,C->U,T3,,,,,
P8,C->U,T4,180,X,,,유니패스 수행 불가
P9,U->C,T1,,,,,
P9,U->C,T2,,,,,
P9,U->C,T3,,,,,
P9,U->C,T4,180,X,,,유니패스 수행 불가
P10,C->U,T1,,,,,
P10,C->U,T2,,,,,
P10,C->U,T3,,,,,
P10,C->U,T4,180,X,,,유니패스 수행 불가
